操作中心,Operation Center
左親指２先,Left thumb 2 tips
左中指３先,Left middle finger 3 tips
左小指３先,Left pinky 3 tips
左人指３先,Left thumb 3 tips
左薬指３先,Left ring finger 3 tips
右親指２先,Right thumb 2 tips
右中指３先,Right middle finger 3 tips
右小指３先,Right pinky 3 tips
右人指３先,Right thumb 3 tips
右薬指３先,Right ring finger 3 tips
下半身先,Lower body tip
左つま先ＩＫ先,Left toe IK tip
右つま先ＩＫ先,Right toe IK tip
左足ＩＫ先,Left toe IK tip
右足ＩＫ先,Right foot IK tip
センター先,Center tip
スカート_0_0,Skirt_0_0
スカート_0_1,Skirt_0_1
スカート_0_2,Skirt_0_2
スカート_0_3,Skirt_0_3
スカート_0_4,skirt_0_4
スカート_0_5,skirt_0_5
スカート_0_6,skirt_0_6
スカート_0_7,skirt_0_7
スカート_0_8,skirt_0_8
スカート_0_9,skirt_0_9
スカート_0_10,skirt_0_10
スカート_0_11,skirt_0_11
スカート_0_12,skirt_0_12
スカート_0_13,skirt_0_13
スカート_0_14,skirt_0_14
スカート_0_15,skirt_0_15
スカート_1_0,skirt_1_0
スカート_1_1,skirt_1_1
スカート_1_2,skirt_1_2
スカート_1_3,Skirt_1_3
スカート_1_4,Skirt_1_4
スカート_1_5,Skirt_1_5
スカート_1_6,Skirt_1_6
スカート_1_7,Skirt_1_7
スカート_1_8,skirt_1_8
スカート_1_9,skirt_1_9
スカート_1_10,skirt_1_10
スカート_1_11,skirt_1_11
スカート_1_12,skirt_1_12
スカート_1_13,skirt_1_13
スカート_1_14,skirt_1_14
スカート_1_15,skirt_1_15
右Y,Right Y
右Y先,Right Y ahead
左Y,Left Y
左Y先,Left Y tip
右足D,Right leg D
右ひざD,Right Knee D
右足首D,Right Ankle D
右足先EX,Right Toe EX
左足D,Left Foot D
左ひざD,Left Knee D
左足首D,Left Ankle D
左足先EX,Left Toe EX
右H1,Right H1
右H2,Right H2
右H3,Right H3
右H4,Right H4
右H5,Right H5
右H6,Right H6
右H7,Right H7
右H8,Right H8
右H9,Right H9
右H10,Right H10
右H11,Right H11
右H12,Right H12
右H13,Right H13
右H14,Right H14
右H15,Right H15
右H16,Right H16
右H17,Right H17
右H18,Right H18
右H19,Right H19
右H20,Right H20
右H先,Right H first
右H2 1,Right H2 1
右H2 2,Right H2 2
右H2 3,Right H2 3
右H2 4,Right H2 4
右H2 5,Right H2 5
右H2先,Right H2 first
右H3 1,Right H3 1
右H3 2,Right H3 2
右H3先,Right H3 first
右H4 1,Right H4 1
右H4先,Right H4 first
右H5 1,Right H5 1
右H5 2,Right H5 2
右H5 3,Right H5 3
右H5先,Right H5 first
左H1,Left H1
左H2,Left H2
左H3,Left H3
左H4,Left H4
左H5,Left H5
左H6,Left H6
左H7,Left H7
左H8,Left H8
左H9,Left H9
左H10,Left H10
左H11,Left H11
左H12,Left H12
左H13,Left H13
左H14,Left H14
左H15,Left H15
左H16,Left H16
左H17,Left H17
左H18,Left H18
左H19,Left H19
左H20,Left H20
左H2 1,Left H2 1
左H2 2,Left H2 2
左H2 3,Left H2 3
左H2 4,Left H2 4
左H2 5,Left H2 5
左H3 1,Left H3 1
左H3 2,Left H3 2
左H4 1,Left H4 1
左H5 1,Left H5 1
左H5 2,Left H5 2
左H5 3,Left H5 3
